2026-06-03 19:34:12.396 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:13.407 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:13.529 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:13.999 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:14.001 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:14.002 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:14.419 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:14.542 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:15.439 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:15.571 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:16.469 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:16.595 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:17.050 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:17.051 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:17.052 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:17.492 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:17.612 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:18.517 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:18.619 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:19.541 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:19.635 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-03 19:34:20.098 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:20.099 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-03 19:34:20.101 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
