2026-04-13 11:04:22.079 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:22.098 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:22.098 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:22.099 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:22.099 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:22.100 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:22.100 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:23.192 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:24.207 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:25.156 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.157 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.159 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.159 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.160 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.160 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:25.228 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:26.240 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:27.254 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:28.185 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.186 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.187 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.188 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.188 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.189 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:28.283 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:29.303 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:30.321 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:31.197 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.197 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.197 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.198 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.212 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.212 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-04-13 11:04:31.343 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-04-13 11:04:32.372 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
