2026-05-29 10:48:37.199 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:37.544 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:38.309 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:38.557 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:38.572 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:38.575 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:38.576 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:39.319 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:39.578 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:40.348 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:40.583 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:41.380 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:41.610 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:41.616 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:41.617 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:41.618 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:42.407 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:42.624 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:43.416 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:43.630 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:44.435 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:44.657 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:44.657 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:44.659 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:44.660 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:45.456 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:45.687 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:46.481 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:46.713 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:47.498 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:47.685 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:47.686 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:47.687 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:47.703 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:48.512 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:48.730 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:49.536 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:49.738 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:50.553 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:50.738 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:50.739 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:50.741 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:50.754 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:51.580 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:51.760 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:52.601 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:52.774 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:53.619 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:53.770 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:53.771 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:53.772 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:53.783 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:54.638 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:54.795 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:55.666 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:55.820 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:56.689 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:56.797 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:56.799 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:56.802 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:56.828 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:57.710 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:57.849 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:58.735 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:58.874 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:59.782 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:48:59.830 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:59.830 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:59.840 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:48:59.880 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:00.817 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:00.891 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:01.858 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:01.901 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:02.851 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:02.852 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:02.852 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:02.858 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:02.905 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:03.878 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:03.923 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:04.892 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:04.940 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:05.878 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:05.879 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:05.880 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:05.911 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:05.963 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:06.927 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:06.990 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:07.950 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:08.011 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:08.911 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:08.921 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:08.922 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-29 10:49:08.966 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:09.025 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:09.991 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:10.036 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:11.021 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-29 10:49:11.039 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
