2026-06-14 23:38:38.207 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:39.319 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:39.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:40.315 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:41.339 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:42.343 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:42.460 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:43.364 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:44.390 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:45.408 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:45.488 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:46.425 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:47.438 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:48.450 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:48.500 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:49.457 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:50.463 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:51.474 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:51.504 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:52.468 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:53.483 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:54.512 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:54.532 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:55.529 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:56.548 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:57.568 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:38:57.568 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:58.605 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:38:59.609 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:00.595 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:00.615 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:01.620 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:02.631 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:03.620 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:03.656 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:04.667 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:05.698 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:06.650 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:06.710 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:07.741 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:08.748 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:09.664 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:09.755 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:10.779 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:11.807 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:12.690 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:12.850 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:13.861 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:14.872 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:15.715 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:15.893 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:16.910 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:17.934 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:18.741 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:18.958 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:19.976 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:20.993 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:21.765 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:22.007 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:23.020 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:24.022 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:24.791 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:25.056 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:26.070 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:27.065 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:27.798 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:28.075 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:29.097 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:30.113 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:30.827 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:31.134 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:32.146 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:33.164 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:33.854 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:34.185 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:35.198 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:36.207 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:36.860 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:37.222 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:38.242 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:39.240 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:39.878 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:40.257 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:41.284 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:42.296 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:42.903 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:43.305 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:44.328 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:45.344 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:45.927 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:46.373 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:47.372 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:48.373 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:48.958 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:49.389 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:50.418 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:51.426 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:51.954 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:52.460 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:53.473 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:54.509 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:54.975 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:55.535 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:56.569 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:57.571 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:57.991 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:39:58.596 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:39:59.628 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:00.659 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:01.023 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:01.667 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:02.687 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:03.722 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:04.060 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:04.732 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:05.743 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:06.757 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:07.064 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:07.793 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:08.803 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:09.835 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:10.087 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:10.851 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:11.856 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:12.878 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:13.116 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:13.886 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:14.896 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:15.910 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:16.141 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:16.911 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:17.915 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:18.948 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-14 23:40:19.168 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-14 23:40:19.957 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
