2026-06-04 23:45:33.695 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:34.805 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:35.842 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:36.070 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:36.091 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:36.870 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:37.899 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:38.930 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:39.121 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:39.123 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:39.965 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:40.988 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:42.007 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:42.171 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:42.173 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:43.015 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:44.044 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:45.084 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:45.229 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:45.231 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:46.102 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:47.129 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:48.132 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:48.275 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:48.276 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:49.147 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:50.156 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:51.181 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:51.313 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:51.315 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:52.212 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:53.251 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:54.281 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:54.349 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:54.352 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:55.299 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:56.331 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:57.341 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:57.383 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:57.384 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:45:58.360 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:45:59.385 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:00.412 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:00.413 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:00.424 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:01.444 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:02.459 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:03.474 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:03.475 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:03.487 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:04.507 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:05.524 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:06.482 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:06.497 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:06.557 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:07.581 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:08.610 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:09.514 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:09.515 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:09.635 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:10.670 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:11.694 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:12.541 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:12.541 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:12.711 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:13.722 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:14.752 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:15.551 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:15.552 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:15.765 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:16.787 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:17.801 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:18.594 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:18.597 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:18.819 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:19.821 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:20.842 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:21.634 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:21.635 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:21.866 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:22.871 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:23.900 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:24.659 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:24.670 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:24.937 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:25.961 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:26.989 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:27.692 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:27.699 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:28.016 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:29.037 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:30.072 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-06-04 23:46:30.741 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-06-04 23:46:30.743 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
